2025/05/27 20:11:34 [emerg] 1#1: cannot load certificate "/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem": BIO_new_file() failed (SSL: error:80000002:system library::No such file or directory:calling fopen(/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem, r) error:10000080:BIO routines::no such file)
2025/05/27 20:11:35 [emerg] 1#1: cannot load certificate "/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem": BIO_new_file() failed (SSL: error:80000002:system library::No such file or directory:calling fopen(/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem, r) error:10000080:BIO routines::no such file)
2025/05/27 20:11:37 [emerg] 1#1: cannot load certificate "/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem": BIO_new_file() failed (SSL: error:80000002:system library::No such file or directory:calling fopen(/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem, r) error:10000080:BIO routines::no such file)
2025/05/27 20:11:38 [emerg] 1#1: cannot load certificate "/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem": BIO_new_file() failed (SSL: error:80000002:system library::No such file or directory:calling fopen(/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem, r) error:10000080:BIO routines::no such file)
2025/05/27 20:11:39 [emerg] 1#1: cannot load certificate "/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem": BIO_new_file() failed (SSL: error:80000002:system library::No such file or directory:calling fopen(/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem, r) error:10000080:BIO routines::no such file)
2025/05/27 20:11:41 [emerg] 1#1: cannot load certificate "/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem": BIO_new_file() failed (SSL: error:80000002:system library::No such file or directory:calling fopen(/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem, r) error:10000080:BIO routines::no such file)
2025/05/27 20:11:44 [emerg] 1#1: cannot load certificate "/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem": BIO_new_file() failed (SSL: error:80000002:system library::No such file or directory:calling fopen(/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem, r) error:10000080:BIO routines::no such file)
2025/05/27 20:11:51 [emerg] 1#1: cannot load certificate "/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem": BIO_new_file() failed (SSL: error:80000002:system library::No such file or directory:calling fopen(/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem, r) error:10000080:BIO routines::no such file)
2025/05/27 20:12:05 [emerg] 1#1: cannot load certificate "/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem": BIO_new_file() failed (SSL: error:80000002:system library::No such file or directory:calling fopen(/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem, r) error:10000080:BIO routines::no such file)
2025/05/27 20:12:31 [emerg] 1#1: cannot load certificate "/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem": BIO_new_file() failed (SSL: error:80000002:system library::No such file or directory:calling fopen(/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem, r) error:10000080:BIO routines::no such file)
2025/05/27 20:13:22 [emerg] 1#1: cannot load certificate "/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem": BIO_new_file() failed (SSL: error:80000002:system library::No such file or directory:calling fopen(/etc/nginx/ssl/live/sashstudio.co.uk/fullchain.pem, r) error:10000080:BIO routines::no such file)
2025/05/27 20:14:23 [notice] 1#1: using the "epoll" event method
2025/05/27 20:14:23 [notice] 1#1: nginx/1.27.5
2025/05/27 20:14:23 [notice] 1#1: built by gcc 14.2.0 (Alpine 14.2.0) 
2025/05/27 20:14:23 [notice] 1#1: OS: Linux 5.15.167.4-microsoft-standard-WSL2
2025/05/27 20:14:23 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2025/05/27 20:14:23 [notice] 1#1: start worker processes
2025/05/27 20:14:23 [notice] 1#1: start worker process 29
2025/05/27 20:14:23 [notice] 1#1: start worker process 30
2025/05/27 20:14:23 [notice] 1#1: start worker process 31
2025/05/27 20:14:23 [notice] 1#1: start worker process 32
2025/05/27 20:14:23 [notice] 1#1: start worker process 33
2025/05/27 20:14:23 [notice] 1#1: start worker process 34
2025/05/27 20:14:23 [notice] 1#1: start worker process 35
2025/05/27 20:14:23 [notice] 1#1: start worker process 36
2025/05/27 20:14:23 [notice] 1#1: start worker process 37
2025/05/27 20:14:23 [notice] 1#1: start worker process 38
2025/05/27 20:14:23 [notice] 1#1: start worker process 39
2025/05/27 20:14:23 [notice] 1#1: start worker process 40
2025/05/27 20:14:23 [notice] 1#1: start worker process 41
2025/05/27 20:14:23 [notice] 1#1: start worker process 42
2025/05/27 20:14:23 [notice] 1#1: start worker process 43
2025/05/27 20:14:23 [notice] 1#1: start worker process 44
